Order_ID,Customer_ID,Customer_Name,Email,Phone,Movie_Title,Theatre,City,Show_Date,Show_Time,Booking_Date,Seat_Type,Quantity,Price,Discount,Total_Amount,Payment_Mode,Payment_Status,Booking_Channel,Seat_Numbers,Feedback_Score,Remarks,Sales_Agent,Is_Refunded,Booking_ID,Screen,Ticket_Type,Promo_Code,Loyalty_Points
ORD109720,CUST6419,Priya Singh,priya395@example.com,12345,Love & Pixels,PVR Phoenix,Delhi,2020-09-10,13:45,2020-08-31,Reguler,0.0,1044.37,0.0,,card,Failed,,,2.0,,Agent A,,BKG44801,Screen 1,Family,NEW50,0.0
ORD107869,CUST29808,Ravi Kumar,ravi606@example.com,,Midnight Sonata,Grand Theatre,Kolkata,2021-01-21,16:00,2020-12-28,Regular,3.0,1492.13,10.0,4038.75,,,online,"C20,B12,A1",,VIP guest,,False,BKG91309,,Family,save10,200.0
ORD107578,CUST4789,,user503@example.com,+918304115560,Final Alarm,Inox Mall,Ahmedabad,2025-06-16,23:30,2025-05-31,VIP,2.0,637.87,50.0,637.87,,Paid,Box Office,"A2,A27",-1.0,VIP guest,Agent B,False,BKG88708,Screen 3,Single,,50.0
ORD107065,CUST18879,Sangeetha K,sangeetha366@example.com,98765 43210,Ocean's Whisper,Inox Mall,Mumbai,2023-11-26,13:45,2023-11-25,Regular,4.0,694.55,-5.0,2917.11,UPI,,third party,"C3,C11,B22,C10",6.0,Cancelled,Agent A,true,BKG34048,Screen 3,,NEW50,100.0
ORD104211,CUST43989,John Doe,john861@example.com,98765 43210,Ocean's Whisper,Grand Theatre,Bengaluru,2023-04-16,20:30,2023-04-16,,0.0,494.59,5.0,,Cahs,Paid,Third-Party,,4.0,Late arrival,Agent B,True,BKG15632,Screen 1,Family,save10,
ORD105083,CUST85004,,user606@example.com,,Love & Pixels,Regal Cinema,Ahmedabad,2023-02-07,18:00,2023-01-31,Premium,-1.0,501.95,,,Cash,Pending,Box Office,,5.0,Cancelled,,True,BKG51128,,Combo,FREESNACK,0.0
ORD101958,CUST87975,Amit Sharma,amit611@example.com,+917185378706,Hidden Truths,,Kolkata,2021-09-10,16:15,2021-09-03,Premium,0.0,445.83,15.0,,Online,Failed,Third-Party,,6.0,,Agent C,True,BKG27926,Screen 1,Single,,0.0
ORD101540,CUST50278,Amit Sharma,amit4@example.com,,The Last Frontier,Grand Theatre,Mumbai,2023-05-26,12:15,2023-05-14,premium ,2.0,1118.35,50.0,1128.35,Online,Pending,online,"A16,C30",4.0,Cancelled,Agent B,true,BKG52107,,,save10,0.0
ORD104825,CUST91246,Amit Sharma,amit261@example.com,,Hidden Truths,Inox Mall,Ahmedabad,2023-07-23,21:30,2023-07-22,Balcony,0.0,239.26,15.0,,UPI,Paid,,,,Cancelled,,True,BKG64814,Screen 3,Combo,,
ORD105390,CUST40046,Ravi Kumar,ravi261@example.com,+919559780800,Broken Strings,Inox Mall,Bengaluru,2019-05-18,12:30,2019-04-28,VIP,3.0,1088.19,25.0,2428.43,,,Box Office,"C13,C8,A26",,,Agent A,True,BKG87669,Screen 2,Family,NEW50,
